,0,1,2,3,4,5,6,7
30,fossil (w/o chp) billion $ ,135.6,214.8,405.6,147.0,903.0,billion $/a,23.2
31,nuclear billion $ ,4.5,0.0,0.0,0.0,4.5,billion $/a,0.1
32,chp (fossil + renewable) billion $ ,134.2,146.2,136.4,142.7,559.4,billion $/a,14.3
33,renewables (w/o chp) billion $ ,998.3,"3,015.7","2,479.2","2,665.7","9,158.9",billion $/a,234.8
34,total billion $ ,"1,272.7","3,376.7","3,021.1","2,955.4","10,625.8",billion $/a,272.5
35,conventional (fossil & nuclear) billion $ ,232.7,270.1,422.5,156.1,"1,081.5",billion $/a,27.7
36,renewables billion $ ,"1,039.9","3,106.6","2,598.6","2,799.2","9,544.3",billion $/a,244.7
37,biomass billion $ ,41.9,49.3,59.4,50.8,201.4,billion $/a,5.2
38,hydro billion $ ,137.3,153.8,146.4,164.0,601.5,billion $/a,15.4
39,wind billion $ ,372.6,867.4,879.2,"1,054.1","3,173.4",billion $/a,81.4
40,pv billion $ ,339.4,932.2,343.1,694.0,"2,308.7",billion $/a,59.2
41,geothermal billion $ ,74.6,237.7,359.8,311.7,983.7,billion $/a,25.2
42,solar thermal power plants billion $ ,37.2,738.3,506.6,351.6,"1,633.7",billion $/a,41.9
43,ocean energy billion $ ,36.9,127.7,304.1,173.0,641.8,billion $/a,16.5
0,table 13.2.23: Oecd north america: investments in renewable heat generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,heat pumps billion $ ,1.2,1.3,0.4,0.4,3.3,billion $/a,0.1
2,deep geothermal billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
3,solar thermal billion $ ,27.7,48.7,67.2,97.4,241.1,billion $/a,6.2
4,biomass billion $ ,135.9,136.6,69.9,72.0,414.5,billion $/a,10.6
5,total billion $ ,164.8,186.6,137.6,169.8,658.9,billion $/a,16.9
6,heat pumps billion $ ,62.0,263.3,460.9,527.1,"1,313.2",billion $/a,33.7
7,deep geothermal billion $ ,31.8,25.1,231.0,198.0,485.8,billion $/a,12.5
8,solar thermal billion $ ,156.0,503.3,578.0,348.7,"1,586.0",billion $/a,40.7
9,bomass billion $ ,139.4,10.3,12.1,0.0,161.8,billion $/a,4.1
10,total billion $ ,389.2,802.0,"1,281.9","1,073.8","3,546.9",billion $/a,90.9
11,heat pumps billion $ ,62.0,263.3,460.9,527.3,"1,313.4",billion $/a,33.7
12,deep geothermal billion $ ,31.8,25.1,231.0,198.2,486.1,billion $/a,12.5
13,solar thermal billion $ ,156.0,507.0,589.0,347.0,"1,599.1",billion $/a,41.0
14,biomass billion $ ,139.4,10.3,12.1,0.0,161.8,billion $/a,4.1
15,total billion $ ,389.2,805.7,"1,292.9","1,072.5","3,560.3",billion $/a,91.3
0,table 13.2.24: Oecd north america: total employment in the energy sector thousand jobs,2015,2020,2025,2030,2020,2025,2030
1,construction and installation ,138,83,90,85,388,458,442
2,manufacturing ,119,75,72,58,437,516,533
3,operations and maintenance ,380,402,405,407,443,535,623
4,fuel supply (domestic) ,551,526,514,502,540,513,475
5,coal and gas export -,,-,-,-,-,-,-
6,solar and geothermal heat ,89,59,71,68,243,753,691
7,total jobs (thousands) ,"1,278","1,145","1,152","1,120","2,051","2,774","2,764"
8,coal ,294,253,228,209,246,177,135
9,"gas, oil & diesel ",175,178,180,176,162,166,157
10,nuclear ,84,82,81,80,96,101,110
11,renewable ,725,631,662,654,"1,547","2,330","2,363"
12,biomass ,276,296,313,328,391,459,455
13,hydro ,60,57,59,58,48,48,51
14,wind ,129,116,122,110,341,434,486
15,pv ,164,93,86,70,468,517,512
16,geothermal power ,1.8,1.6,1.5,1.4,10,15,20
17,solar thermal power ,5.5,6.5,7.2,10.0,29,71,102
18,ocean ,0.6,2.3,2.7,8.7,16.6,32,46
19,solar - heat ,74,48,60,59,186,636,544
20,geothermal & heat pump ,14.7,10.7,10.2,9.6,57,117,146
21,total jobs (thousands) ,"1,278","1,145","1,152","1,120","2,051","2,774","2,764"
0,table 13.3.22: latin america: investments in electricity generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,3fossil (w/o chp) billion $ ,53.9,52.7,83.2,115.7,305.5,billion $/a,7.8
3,nuclear billion $ ,8.3,9.2,7.8,11.3,36.7,billion $/a,0.9
4,chp (fossil + renewable) billion $ ,22.3,27.8,11.8,6.2,68.0,billion $/a,1.7
5,renewables (w/o chp) billion $ ,226.9,265.2,276.6,219.1,987.8,billion $/a,25.3
6,total billion $ ,311.4,354.8,379.4,352.4,"1,398.0",billion $/a,35.8
7,conventional (fossil & nuclear) billion $ ,75.0,70.4,94.3,128.5,368.3,billion $/a,9.4
8,renewables billion $ ,236.4,284.4,285.1,223.9,"1,029.8",billion $/a,26.4
9,biomass billion $ ,18.7,31.3,24.8,19.4,94.3,billion $/a,2.4
10,hydro billion $ ,181.8,205.3,192.5,128.5,708.1,billion $/a,18.2
11,wind billion $ ,21.0,26.0,36.6,42.9,126.5,billion $/a,3.2
12,pv billion $ ,8.2,8.4,11.0,11.8,39.5,billion $/a,1.0
13,geothermal billion $ ,6.6,8.3,9.2,7.0,31.2,billion $/a,0.8
14,solar thermal power plants billion $ ,0.0,5.0,10.4,13.7,29.2,billion $/a,0.7
15,ocean energy billion $ ,0.0,0.0,0.5,0.6,1.0,billion $/a,0.0
16,fossil (w/o chp) billion $ ,41.0,21.4,36.6,46.9,145.8,billion $/a,3.7
17,nuclear billion $ ,3.4,0.0,0.0,0.0,3.4,billion $/a,0.1
18,chp (fossil + renewable) billion $ ,51.3,90.3,98.7,86.5,326.9,billion $/a,8.4
19,renewables (w/o chp) billion $ ,242.1,454.3,746.1,687.1,"2,129.5",billion $/a,54.6
20,total billion $ ,337.8,566.0,881.3,820.5,"2,605.6",billion $/a,66.8
21,conventional (fossil & nuclear) billion $ ,71.7,53.8,77.2,76.8,279.4,billion $/a,7.2
22,renewables billion $ ,266.1,512.2,804.2,743.7,"2,326.2",billion $/a,59.6
23,biomass billion $ ,34.3,76.4,99.1,124.8,334.7,billion $/a,8.6
24,hydro billion $ ,105.7,66.2,69.1,70.3,311.4,billion $/a,8.0
25,wind billion $ ,48.9,119.8,199.6,236.8,605.1,billion $/a,15.5
26,pv billion $ ,61.4,100.7,153.4,135.8,451.2,billion $/a,11.6
27,geothermal billion $ ,12.5,12.0,24.9,23.5,72.9,billion $/a,1.9
28,solar thermal power plants billion $ ,3.4,134.4,240.3,140.0,518.1,billion $/a,13.3
29,ocean energy billion $ ,0.0,2.6,17.7,12.5,32.8,billion $/a,0.8
30,fossil (w/o chp) billion $ ,37.3,11.9,32.0,14.1,95.3,billion $/a,2.4
31,nuclear billion $ ,3.4,0.0,0.0,0.0,3.4,billion $/a,0.1
32,chp (fossil + renewable) billion $ ,31.6,84.1,75.0,73.1,263.8,billion $/a,6.8
33,renewables (w/o chp) billion $ ,337.6,745.0,"1,054.8",895.5,"3,033.0",billion $/a,77.8
34,total billion $ ,410.0,840.9,"1,161.9",982.7,"3,395.5",billion $/a,87.1
35,conventional (fossil & nuclear) billion $ ,57.6,40.6,62.3,33.9,194.4,billion $/a,5.0
36,renewables billion $ ,352.4,800.3,"1,099.6",948.8,"3,201.2",billion $/a,82.1
37,biomass billion $ ,32.8,80.9,95.4,130.4,339.4,billion $/a,8.7
38,hydro billion $ ,105.7,69.2,67.8,68.4,311.2,billion $/a,8.0
39,wind billion $ ,77.4,190.1,367.2,322.9,957.5,billion $/a,24.6
40,pv billion $ ,88.2,155.8,208.3,199.8,652.1,billion $/a,16.7
41,geothermal billion $ ,12.5,12.0,52.7,65.9,143.0,billion $/a,3.7
42,solar thermal power plants billion $ ,35.9,241.9,285.0,135.1,697.9,billion $/a,17.9
43,ocean energy billion $ ,0.0,50.4,23.2,26.3,99.9,billion $/a,2.6
0,table 13.3.23: latin america: investments in renewable heat generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,heat pumps billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
3,deep geothermal billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
4,solar thermal billion $ ,3.0,3.0,6.4,6.6,19.1,billion $/a,0.5
5,biomass billion $ ,74.4,96.8,37.4,27.9,236.4,billion $/a,6.1
6,total billion $ ,77.4,99.8,43.8,34.5,255.5,billion $/a,6.6
7,heat pumps billion $ ,17.4,19.3,51.7,51.9,140.4,billion $/a,3.6
8,deep geothermal billion $ ,1.4,10.1,23.9,13.9,49.3,billion $/a,1.3
9,solar thermal billion $ ,40.1,68.1,88.9,13.4,210.4,billion $/a,5.4
10,bomass billion $ ,92.3,85.9,2.1,0.5,180.8,billion $/a,4.6
11,total billion $ ,151.3,183.4,166.5,79.6,580.9,billion $/a,14.9
12,heat pumps billion $ ,17.4,19.3,51.7,51.8,140.2,billion $/a,3.6
13,deep geothermal billion $ ,1.4,10.1,23.9,13.8,49.3,billion $/a,1.3
14,solar thermal billion $ ,40.1,68.1,88.9,13.3,210.4,billion $/a,5.4
15,biomass billion $ ,92.3,85.9,2.1,0.5,180.8,billion $/a,4.6
16,total billion $ ,151.3,183.4,166.6,79.3,580.7,billion $/a,14.9
0,table 13.3.24: latin america: total employment in the energy sector thousand jobs,2015,2020,2025,2030,2020,2025,2030
1,construction and installation,224,210,206,180,485,687,769
2,manufacturing,99,96,97,89,230,361,552
3,operations and maintenance,284,319,351,372,434,572,717
4,fuel supply (domestic),790,890,987,"1,057",891,920,962
5,coal and gas export,45.9,54.0,58.9,62.6,32.6,21.9,11.3
6,solar and geothermal heat,29,29,27,24,438,321,411
7,total jobs (thousands) ,"1,472","1,597","1,727","1,784","2,510","2,884","3,423"
8,coal,88,81,89,109,34,27,13
9,"gas, oil & diesel",418,483,530,544,422,367,312
10,nuclear,9,10,10,11,4,5,7
11,renewable,958,"1,024","1,098","1,120","2,050","2,485","3,092"
12,biomass,584,629,678,718,766,899,998
13,hydro,299,303,320,303,103,122,113
14,wind,19,25,31,32,207,267,511
15,pv,26,33,35,33,414,651,750
16,geothermal power,2.3,3.0,2.9,2.8,6.2,7.5,20.8
17,solar thermal power,0.3,1.6,3.2,6.1,84,165,254
18,ocean,-,1,0,1,32.6,52.6,33
19,solar - heat,28.9,28.8,27.3,24.2,388,289,375
20,geothermal & heat pump,-,-,-,,49,33,36
21,total jobs (thousands) ,"1,472","1,597","1,727","1,784","2,510","2,884","3,423"
0,table 13.4.22: Oecd europe: investments in electricity generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,fossil (w/o chp) billion $ ,177.1,187.9,202.1,243.1,810.2,billion $/a,20.8
3,nuclear billion $ ,135.6,17.1,79.8,77.7,310.1,billion $/a,8.0
4,chp (fossil + renewable) billion $ ,190.8,133.8,73.9,27.0,425.5,billion $/a,10.9
5,renewables (w/o chp) billion $ ,520.5,461.4,632.2,537.2,"2,151.3",billion $/a,55.2
6,total billion $ ,"1,024.0",800.2,988.0,884.9,"3,697.1",billion $/a,94.8
7,conventional (fossil & nuclear) billion $ ,458.6,285.2,311.4,321.1,"1,376.4",billion $/a,35.3
8,renewables billion $ ,565.4,515.0,676.6,563.8,"2,320.8",billion $/a,59.5
9,biomass billion $ ,63.8,71.3,68.2,47.1,250.4,billion $/a,6.4
10,hydro billion $ ,128.8,133.9,126.5,134.0,523.2,billion $/a,13.4
11,wind billion $ ,208.7,228.8,296.1,280.5,"1,014.1",billion $/a,26.0
12,pv billion $ ,138.4,52.4,109.9,39.8,340.6,billion $/a,8.7
13,geothermal billion $ ,9.9,8.2,11.2,8.7,38.0,billion $/a,1.0
14,solar thermal power plants billion $ ,13.9,11.8,33.4,32.9,92.0,billion $/a,2.4
15,ocean energy billion $ ,1.9,8.6,31.1,20.8,62.4,billion $/a,1.6
16,fossil (w/o chp) billion $ ,148.9,81.3,66.8,96.6,393.7,billion $/a,10.1
17,nuclear billion $ ,61.1,0.0,0.0,0.0,61.1,billion $/a,1.6
18,chp (fossil + renewable) billion $ ,224.4,259.6,195.3,179.0,858.2,billion $/a,22.0
19,renewables (w/o chp) billion $ ,685.0,994.7,"1,323.5","1,174.6","4,177.7",billion $/a,107.1
20,total billion $ ,"1,119.4","1,335.5","1,585.6","1,450.2","5,490.7",billion $/a,140.8
21,conventional (fossil & nuclear) billion $ ,349.0,137.6,110.2,96.6,693.5,billion $/a,17.8
22,renewables billion $ ,770.4,"1,197.9","1,475.4","1,353.6","4,797.2",billion $/a,123.0
23,biomass billion $ ,108.1,184.3,102.8,140.4,535.6,billion $/a,13.7
24,hydro billion $ ,128.8,105.5,110.9,117.8,462.9,billion $/a,11.9
25,wind billion $ ,268.2,448.2,590.0,546.8,"1,853.2",billion $/a,47.5
26,pv billion $ ,232.2,257.4,326.2,240.2,"1,056.0",billion $/a,27.1
27,geothermal billion $ ,13.3,73.5,111.5,135.6,333.9,billion $/a,8.6
28,solar thermal power plants billion $ ,15.4,71.3,153.8,138.7,379.2,billion $/a,9.7
29,ocean energy billion $ ,4.3,57.7,80.3,34.1,176.4,billion $/a,4.5
30,fossil (w/o chp) billion $ ,126.4,85.5,56.0,112.0,380.0,billion $/a,9.7
31,nuclear billion $ ,61.1,0.0,0.0,0.0,61.1,billion $/a,1.6
32,chp (fossil + renewable) billion $ ,224.4,259.6,195.3,188.9,868.1,billion $/a,22.3
33,renewables (w/o chp) billion $ ,711.2,"1,347.5","1,767.3","1,649.9","5,476.0",billion $/a,140.4
34,total billion $ ,"1,123.1","1,692.6","2,018.6","1,950.9","6,785.2",billion $/a,174.0
35,conventional (fossil & nuclear) billion $ ,326.5,141.9,99.4,112.0,679.8,billion $/a,17.4
36,renewables billion $ ,796.6,"1,550.7","1,919.3","1,838.9","6,105.4",billion $/a,156.5
37,biomass billion $ ,117.8,186.1,118.9,146.8,569.6,billion $/a,14.6
38,hydro billion $ ,128.8,105.5,110.9,117.8,462.9,billion $/a,11.9
39,wind billion $ ,273.7,579.2,833.0,850.1,"2,536.0",billion $/a,65.0
40,pv billion $ ,240.1,363.8,410.6,413.3,"1,427.9",billion $/a,36.6
41,geothermal billion $ ,14.7,99.4,148.0,144.1,406.1,billion $/a,10.4
42,solar thermal power plants billion $ ,17.1,148.7,199.3,128.1,493.3,billion $/a,12.6
43,ocean energy billion $ ,4.3,68.0,98.6,38.7,209.6,billion $/a,5.4
0,table 13.4.23: Oecd europe: investments in renewable heat generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,heat pumps billion $ ,46.8,46.2,55.0,60.1,208.0,billion $/a,5.3
3,deep geothermal billion $ ,6.2,0.5,10.0,6.1,22.8,billion $/a,0.6
4,solar thermal billion $ ,47.3,50.3,71.0,71.0,239.7,billion $/a,6.1
5,biomass billion $ ,169.2,200.1,81.2,71.7,522.2,billion $/a,13.4
6,total billion $ ,269.5,297.1,217.2,208.9,992.7,billion $/a,25.5
7,heat pumps billion $ ,104.0,319.8,454.9,460.6,"1,339.2",billion $/a,34.3
8,deep geothermal billion $ ,10.8,8.2,88.7,37.6,145.3,billion $/a,3.7
9,solar thermal billion $ ,91.4,376.1,328.0,424.0,"1,219.4",billion $/a,31.3
10,bomass billion $ ,89.8,22.1,3.0,0.0,114.9,billion $/a,2.9
11,total billion $ ,296.0,726.2,874.6,922.1,"2,818.9",billion $/a,72.3
12,heat pumps billion $ ,104.0,319.8,477.0,479.0,"1,379.7",billion $/a,35.4
13,deep geothermal billion $ ,10.8,8.2,88.7,93.6,201.3,billion $/a,5.2
14,solar thermal billion $ ,91.4,376.1,364.4,437.0,"1,269.0",billion $/a,32.5
15,biomass billion $ ,89.8,22.1,3.0,0.3,115.2,billion $/a,3.0
16,total billion $ ,296.0,726.2,933.1,"1,009.9","2,965.2",billion $/a,76.0
0,table 13.4.24: Oecd europe: total employment in the energy sector thousand jobs,2015,2020,2025,2030,2020,2025,2030
1,construction and installation,138,83,90,85,388,458,442
2,manufacturing,119,75,72,58,437,516,533
3,operations and maintenance,380,402,405,407,443,535,623
4,fuel supply (domestic),551,526,514,502,540,513,475
5,coal and gas export,-,-,-,,-,-,-
6,solar and geothermal heat,89,59,71,68,243,753,691
7,total jobs (thousands) ,"1,278","1,145","1,152","1,120","2,051","2,774","2,764"
8,coal,294,253,228,209,246,177,135
9,"gas, oil & diesel",175,178,180,176,162,166,157
10,nuclear,84,82,81,80,96,101,110
11,renewable,725,631,662,654,"1,547","2,330","2,363"
12,biomass,276,296,313,328,391,459,455
13,hydro,60,57,59,58,48,48,51
14,wind,129,116,122,110,341,434,486
15,pv,164,93,86,70,468,517,512
16,geothermal power,1.8,1.6,1.5,1.4,10,15,20
17,solar thermal power,5.5,6.5,7.2,10.0,29,71,102
18,ocean,0.6,2.3,2.7,8.7,16.6,32,46
19,solar - heat,74,48,60,59,186,636,544
20,geothermal & heat pump,14.7,10.7,10.2,9.6,57,117,146
21,total jobs (thousands) ,"1,278","1,145","1,152","1,120","2,051","2,774","2,764"
0,table 13.5.22: africa: investments in electricity generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,fossil (w/o chp) billion $ ,91.9,90.7,142.3,142.5,467.3,billion $/a,12.0
3,nuclear billion $ ,1.8,8.3,10.4,14.9,35.4,billion $/a,0.9
