,0,1,2,3,4,5,6
17,solar thermal power plants,3,11,19,26,49,74
18,ocean energy,0,1,2,4,15,28
19,"fluctuating res (PV, Wind, ocean)",375,887,"1,096","1,305","1,647","2,048"
20,share of fluctuating res,7%,12%,13%,14%,15%,17%
21,RES share,28%,33%,33%,34%,34%,36%
0,Table 13.1.5: Global: Final energy demand PJ/a,2012,2020,2025,2030,2040,2050
1,Total (incl. non-energy use) ,"360,650","418,349","451,812","485,226","541,973","587,701"
2,Total energy use1 ,"326,859","379,586","410,576","441,590","495,388","538,502"
3,Transport ,"90,119","103,044","112,778","122,511","137,518","148,418"
4,oil products ,"82,794","93,468","101,647","109,825","120,716","128,112"
5,natural gas ,"3,765","4,561","4,994","5,427","7,008","9,020"
6,biofuels ,"2,486","3,622","4,487","5,352","7,224","7,982"
7,synfuels ,0,0,0,0,0,0
8,electricity ,"1,074","1,393","1,650","1,907","2,570","3,304"
9,RES electricity ,225,343,411,480,645,865
10,Hydrogen ,0,0,0,0,0,0
11,RES share Transport ,3%,4%,4%,5%,6%,6%
12,Industry ,"106,313","129,641","140,466","151,290","170,465","186,496"
13,electricity ,"28,747","37,294","41,992","46,689","55,149","62,870"
14,RES electricity ,"6,034","9,176","10,462","11,746","13,843","16,449"
15,Public district heat ,"5,446","6,052","6,263","6,473","6,496","6,446"
16,RES district heat ,113,307,348,394,456,508
17,Hard coal & lignite ,"25,402","32,795","33,324","34,396","35,528","36,033"
18,oil products ,"12,939","14,200","14,512","14,824","14,989","14,585"
19,Gas ,"26,305","29,915","33,643","36,828","43,349","48,889"
20,solar ,13,70,106,141,272,470
21,biomass ,"7,441","9,290","10,600","11,909","14,647","17,158"
22,Geothermal ,20,24,27,29,37,45
23,Hydrogen ,0,0,0,0,0,0
24,RES share Industry ,13%,15%,15%,16%,17%,19%
25,Other Sectors ,"130,428","146,901","157,332","167,789","187,404","203,589"
26,electricity ,"38,088","47,601","54,653","61,705","76,400","87,266"
27,RES electricity ,"7,994","11,712","13,617","15,524","19,178","22,832"
28,Public district heat ,"6,555","6,709","6,969","7,229","7,711","8,285"
29,RES district heat ,136,340,388,440,541,654
30,Hard coal & lignite ,"5,718","5,878","5,977","6,076","5,954","5,903"
31,oil products ,"17,894","18,409","18,663","18,940","19,301","19,849"
32,Gas ,"24,960","29,178","31,634","34,091","38,538","43,036"
33,solar ,790,"1,314","1,639","1,964","2,568","3,359"
34,biomass ,"36,126","37,374","37,275","37,177","36,076","34,701"
35,Geothermal ,297,437,521,605,856,"1,189"
36,Hydrogen ,0,0,0,0,0,0
37,RES share Other Sectors ,35%,35%,34%,33%,32%,31%
38,Total RES ,"61,675","74,010","79,880","85,762","96,342","106,213"
39,RES share ,19%,19%,19%,19%,19%,20%
40,non energy use ,"33,791","38,763","41,237","43,636","46,585","49,199"
41,oil ,"24,430","27,189","28,234","29,263","30,036","30,424"
42,Gas ,"7,735","9,499","10,683","11,818","13,760","15,822"
43,coal ,"1,625","2,075","2,320","2,555","2,790","2,953"
0,Table 13.1.6: Global: CO2 emissions Mill t/a,2012,2020,2025,2030,2040,2050
1,Condensation power plants,"9,522","11,492","12,968","14,468","17,838","19,724"
2,Hard coal (& non-renewable waste),"5,063","6,722","7,824","8,978","11,393","12,582"
3,lignite,"1,902","1,976","2,074","2,125","2,283","2,432"
4,Gas,"1,760","2,073","2,430","2,800","3,669","4,272"
5,oil,621,534,432,332,233,158
6,Diesel,175,186,209,232,262,280
7,Combined heat and power plants,"2,717","2,937","2,917","2,889","2,828","2,787"
8,Hard coal (& non-renewable waste),"1,579","1,832","1,836","1,826","1,780","1,723"
9,lignite,251,243,240,236,226,219
10,Gas,807,810,802,801,805,831
11,oil,79,52,39,26,17,14
12,CO2 emissions power and CHP plants,"12,238","14,428","15,885","17,356","20,667","22,511"
13,Hard coal (& non-renewable waste),"6,643","8,553","9,660","10,804","13,173","14,305"
14,lignite,"2,154","2,219","2,313","2,361","2,509","2,651"
15,Gas,"2,567","2,884","3,232","3,601","4,474","5,103"
16,oil & diesel,875,772,680,591,511,452
17,CO2 intensity (g/kWh),,,,,,
18,without credit for CHP heat,,,,,,
19,co2 intensity fossil electr. generation,794,790,761,740,710,683
20,co2 intensity total electr. generation,541,506,491,479,470,449
21,CO2 emissions by sector,"30,469","34,247","36,801","39,362","44,332","47,532"
22,"% of 1990 emissions (20,938 Mill t)",146%,164%,176%,188%,212%,227%
23,industry1,"6,167","7,404","7,710","8,025","8,522","8,856"
24,other sectors1,"3,224","3,509","3,674","3,843","4,113","4,406"
25,Transport,"6,165","6,995","7,623","8,251","9,147","9,794"
26,Power generation2,"10,765","12,679","14,110","15,563","18,862","20,694"
27,other conversion3,"4,148","3,660","3,683","3,680","3,688","3,782"
28,Population (Mill.),"7,080","7,717","8,083","8,425","9,039","9,551"
29,CO2 emissions per capita (t/capita),4.3,4.4,4.6,4.7,4.9,5.0
0,Table 13.1.7: Global: Primary energy demand PJ/a,2012,2020,2025,2030,2040,2050
1,Total,"534,873","619,779","666,706","714,904","802,761","859,954"
2,fossil,"434,330","491,672","527,749","565,057","634,952","676,182"
3,Hard coal (& non-renewable waste),"132,625","161,539","175,300","190,051","215,125","224,542"
4,lignite,"21,617","22,197","23,086","23,536","24,926","26,224"
5,natural gas,"118,747","131,936","145,473","159,631","193,201","217,258"
6,crude oil,"161,342","176,000","183,891","191,839","201,700","208,159"
7,nuclear,"26,884","35,098","37,576","40,054","42,074","44,241"
8,Renewables,"73,659","93,009","101,380","109,792","125,734","139,531"
9,Hydro,"13,222","16,049","17,398","18,747","21,106","23,154"
10,Wind,"1,874","4,514","5,789","7,065","9,189","11,529"
11,solar,"1,223","2,979","3,829","4,681","6,464","8,879"
12,biomass (& renewable waste),"54,893","65,783","70,087","74,351","82,137","86,749"
13,Geothermal,"2,445","3,674","4,253","4,913","6,692","8,945"
14,ocean energy,2,10,23,36,146,275
15,Of which non-energy use,"33,791","38,763","41,237","43,636","46,585","49,199"
16,RES share,14%,15%,15%,15%,16%,16%
0,Table 13.1.8 Global: Electricity generation TWh/a,2012,2020,2025,2030,2040,2050
1,Power plants,"19,125","23,246","25,397","28,497","37,019","43,831"
2,Hard coal (& non-renewable waste),"5,477","6,330","5,830","4,745","2,357",468
3,lignite,"1,718","1,419",842,338,99,0
4,Gas,"3,876","4,912","4,972","4,807","3,550","1,288"
5,of which from H2,0,0,0,0,28,69
6,oil,889,575,404,166,33,9
7,Diesel,147,111,73,51,15,5
8,nuclear,"2,450","1,872","1,345",559,182,0
9,biomass (& renewable waste),205,510,555,580,606,620
10,Hydro,"3,672","4,349","4,513","4,613","4,773","4,937"
11,Wind,521,"1,932","3,848","6,278","11,291","14,938"
12,of which wind offshore,19,126,473,"1,098","2,831","4,008"
13,PV,97,942,"2,123","3,844","7,054","9,914"
14,Geothermal,69,166,365,664,"1,385","2,032"
15,solar thermal power plants,5,97,428,"1,601","4,844","8,138"
16,ocean energy,1,31,101,251,831,"1,482"
17,Combined heat and power plants,"3,478","4,046","4,620","5,134","5,818","6,021"
18,Hard coal (& non-renewable waste),"1,670","1,773","1,615","1,328",562,126
19,lignite,193,155,82,22,0,0
20,Gas,"1,351","1,602","1,907","2,156","2,270","1,921"
21,of which from H2,0,0,0,2,56,281
22,oil,88,58,25,8,3,1
23,biomass (& renewable waste),175,427,876,"1,335","2,043","2,419"
24,Geothermal,2,24,97,252,813,"1,253"
25,Hydrogen,0,7,16,32,126,300
26,CHP by producer,,,,,,
27,Main activity producers,"1,576","1,738","1,956","2,171","2,385","2,327"
28,autoproducers,"1,903","2,308","2,663","2,963","3,433","3,694"
29,Total generation,"22,604","27,292","30,016","33,631","42,837","49,852"
30,fossil,"15,409","16,936","15,752","13,619","8,805","3,469"
31,Hard coal (& non-renewable waste),"7,148","8,104","7,446","6,074","2,919",594
32,lignite,"1,911","1,574",925,360,99,0
33,Gas,"5,226","6,514","6,879","6,960","5,736","2,859"
34,oil,978,633,429,174,36,11
35,Diesel,147,111,73,51,15,5
36,nuclear,"2,450","1,872","1,345",559,182,0
37,Hydrogen,0,7,16,34,211,650
38,of which renewable H2,0,2,7,20,166,604
39,Renewables (w/o renewable hydrogen),"4,744","8,478","12,904","19,419","33,640","45,733"
40,Hydro,"3,672","4,349","4,513","4,613","4,773","4,937"
41,Wind,521,"1,932","3,848","6,278","11,291","14,938"
42,PV,97,942,"2,123","3,844","7,054","9,914"
43,biomass (& renewable waste),379,937,"1,430","1,915","2,649","3,039"
44,Geothermal,70,190,462,916,"2,198","3,286"
45,solar thermal power plants,5,97,428,"1,601","4,844","8,138"
46,ocean energy,1,31,101,251,831,"1,482"
47,Distribution losses,"1,839","2,246","2,430","2,622","2,965","3,211"
48,own consumption electricity,"1,910","2,050","2,098","2,058","1,826","1,315"
49,electricity for hydrogen production,0,36,245,983,"4,237","8,330"
50,electricity for synfuel production,0,0,0,0,0,0
51,Final energy consumption (electricity),"18,863","22,980","25,268","27,973","33,816","37,004"
52,"fluctuating res (PV, Wind, ocean)",618,"2,904","6,071","10,373","19,176","26,334"
53,share of fluctuating res,3%,11%,20%,31%,45%,53%
54,RES share,21%,31%,43%,58%,79%,93%
0,Table 13.1.9 Global: Final energy consumption in transport PJ/a,2012,2020,2025,2030,2040,2050
1,Road ,"78,688","83,781","82,443","79,473","67,361","57,356"
2,fossil fuels ,"74,800","77,617","72,348","62,387","32,730","12,138"
3,biofuels ,"2,486","3,759","4,945","6,126","6,588","5,829"
4,synfuels ,0,0,0,0,0,0
5,natural gas ,"1,394","1,981","2,498","2,864","3,044","2,724"
6,Hydrogen ,0,18,367,"1,990","8,190","13,521"
7,electricity ,9,406,"2,284","6,106","16,810","23,144"
8,Rail ,"2,766","3,110","3,231","3,338","3,631","3,751"
9,fossil fuels ,"1,701","1,662","1,461","1,142",697,274
10,biofuels ,0,67,129,252,267,164
11,synfuels ,0,0,0,0,0,0
12,electricity ,"1,065","1,381","1,640","1,945","2,667","3,314"
13,Navigation ,"2,173","2,492","2,615","2,728","2,849","2,860"
14,fossil fuels ,"2,173","2,442","2,485","2,447","2,151","1,589"
15,biofuels ,0,49,130,281,698,"1,271"
16,synfuels ,0,0,0,0,0,0
17,Aviation ,"4,120","4,683","4,767","4,712","4,667","5,004"
18,fossil fuels ,"4,120","4,678","4,621","4,335","3,638","2,946"
19,biofuels ,0,4,146,377,"1,030","2,058"
20,synfuels ,0,0,0,0,0,0
21,Total (incl. pipelines) ,"90,119","96,169","94,941","91,918","79,738","69,735"
22,fossil fuels ,"82,794","86,400","80,915","70,311","39,216","16,947"
23,biofuels (incl. biogas) ,"2,486","3,880","5,351","7,035","8,583","9,322"
24,synfuels ,0,0,0,0,0,0
25,natural gas ,"3,765","4,074","4,352","4,464","4,043","2,960"
26,Hydrogen ,0,18,367,"1,990","8,190","13,521"
27,electricity ,"1,074","1,797","3,956","8,117","19,706","26,985"
28,Total RES ,"2,711","4,444","7,210","12,877","30,598","46,972"
29,RES share ,3%,5%,8%,14%,38%,67%
0,Table 13.1.10 Global: Heat supply PJ/a,2012,2020,2025,2030,2040,2050
1,District heating plants,"8,275","8,580","9,343","9,658","10,355","9,738"
2,fossil fuels,"8,030","7,855","7,008","5,946","2,466",430
3,biomass,239,622,"1,311","1,852","2,768","2,384"
4,solar collectors,0,56,686,"1,170","2,963","3,917"
5,Geothermal,6,47,338,689,"2,158","3,006"
6,Heat from CHP1,"10,083","12,720","15,517","18,605","25,629","31,685"
7,fossil fuels,"9,566","10,950","11,165","10,821","8,729","5,871"
8,biomass,507,"1,537","3,437","5,485","9,132","12,459"
9,Geothermal,10,187,799,"2,067","6,703","10,328"
10,Hydrogen,0,46,116,232,"1,064","3,025"
11,Direct heating,"129,751","141,519","140,142","137,770","127,812","115,170"
12,fossil fuels,"91,517","95,693","85,672","72,665","40,425","13,432"
13,biomass,"26,739","29,247","30,159","29,281","26,603","23,718"
14,solar collectors,803,"2,620","6,296","11,814","22,742","27,461"
15,Geothermal,0,421,810,"1,329","2,462","3,389"
16,Heat pumps2,468,"1,477","3,249","6,332","13,289","18,041"
17,electric direct heating,"10,224","12,062","13,909","16,216","21,494","26,134"
18,Hydrogen,0,0,47,133,797,"2,995"
19,Total heat supply3,"148,109","162,819","165,002","166,032","163,796","156,593"
20,fossil fuels,"109,112","114,499","103,844","89,431","51,620","19,734"
21,biomass,"27,486","31,406","34,907","36,619","38,504","38,562"
22,solar collectors,804,"2,675","6,982","12,984","25,704","31,378"
23,Geothermal,16,655,"1,948","4,085","11,323","16,723"
24,Heat pumps2,468,"1,477","3,249","6,332","13,289","18,041"
25,electric direct heating,"10,224","12,062","13,909","16,216","21,494","26,134"
26,Hydrogen,0,46,163,366,"1,862","6,021"
27,RES share (including RES electricity),21%,25%,33%,42%,66%,86%
0,Table 13.1.10: Global: Installed capacity GW,2012,2020,2025,2030,2040,2050
1,Total generation,"5,680","7,492","9,148","11,521","16,112","19,469"
2,Fossil,"3,712","4,098","3,902","3,662","3,089","2,140"
3,Hard coal (& non-renewable waste),"1,407","1,612","1,474","1,305",743,264
4,lignite,373,292,171,69,21,0
5,Gas (w/o H2),"1,499","1,863","2,018","2,164","2,285","1,861"
6,oil,378,284,203,96,28,10
7,Diesel,55,47,35,28,12,5
8,nuclear,393,260,184,76,25,0
9,"Hydrogen (fuel cells, gas power plants, gas cHP)",0,2,4,9,64,250
10,Renewables,"1,575","3,132","5,058","7,774","12,934","17,079"
11,Hydro,"1,099","1,316","1,365","1,397","1,445","1,503"
12,Wind,277,820,"1,573","2,510","4,316","5,575"
13,of which wind offshore,5,37,142,326,814,"1,131"
14,PV,97,732,"1,603","2,839","4,988","6,745"
15,biomass (& renewable waste),87,194,284,392,558,746
16,Geothermal,11,28,69,137,325,485
17,solar thermal power plants,3,31,126,405,984,"1,473"
18,ocean energy,0,11,37,95,318,552
19,"fluctuating res (PV, Wind, ocean)",375,"1,563","3,214","5,444","9,622","12,871"
20,share of fluctuating res,7%,21%,35%,47%,60%,66%
21,RES share,28%,42%,55%,67%,80%,88%
0,Table 13.1.12: Global: Final energy demand PJ/a,2012,2020,2025,2030,2040,2050
1,Total (incl. non-energy use) ,"360,650","392,643","391,235","384,295","355,240","323,128"
2,Total energy use1 ,"326,859","356,213","354,466","347,228","319,112","288,506"
3,Transport ,"90,119","96,169","94,941","91,918","79,738","69,735"
4,oil products ,"82,794","86,400","80,915","70,311","39,216","16,947"
5,natural gas ,"3,765","4,074","4,352","4,464","4,043","2,960"
6,biofuels ,"2,486","3,880","5,351","7,035","8,583","9,322"
7,synfuels ,0,0,0,0,0,0
8,electricity ,"1,074","1,797","3,956","8,117","19,706","26,985"
9,RES electricity ,225,558,"1,702","4,692","15,552","25,083"
10,Hydrogen ,0,18,367,"1,990","8,190","13,521"
11,RES share Transport ,3%,5%,8%,14%,38%,67%
12,Industry ,"106,313","122,283","122,458","120,769","110,931","98,343"
13,electricity ,"28,747","36,525","39,464","42,319","46,866","48,360"
14,RES electricity ,"6,034","11,349","16,974","24,460","36,986","44,951"
15,Public district heat ,"5,446","5,989","6,511","6,853","7,082","6,896"
16,RES district heat ,220,741,"1,872","2,908","5,135","6,167"
17,Hard coal & lignite ,"25,402","28,584","24,724","19,246","6,362",633
18,oil products ,"12,939","11,564","8,530","5,536","2,028",304
19,Gas ,"26,305","28,191","28,654","28,064","21,649","9,260"
20,solar ,13,710,"2,066","4,440","9,313","10,747"
21,biomass ,"7,441","9,966","10,976","11,315","10,866","11,173"
22,Geothermal ,20,754,"1,478","2,842","5,862","7,792"
23,Hydrogen ,0,0,54,154,904,"3,177"
24,RES share Industry ,13%,19%,27%,38%,62%,85%
25,Other Sectors ,"130,428","137,762","137,068","134,542","128,443","120,428"
26,electricity ,"38,088","44,408","47,544","50,268","55,165","57,853"
27,RES electricity ,"7,994","13,798","20,450","29,054","43,535","53,774"
28,Public district heat ,"6,555","6,860","8,125","9,181","11,450","12,049"
29,RES district heat ,265,849,"2,335","3,896","8,302","10,775"
30,Hard coal & lignite ,"5,718","4,926","3,213","1,487",272,55
31,oil products ,"17,894","15,749","11,997","9,108","3,656",379
32,Gas ,"24,960","27,097","25,597","22,594","12,819","5,462"
33,solar ,790,"1,910","4,231","7,374","13,429","16,713"
34,biomass ,"36,126","36,115","34,733","31,510","25,305","18,788"
35,Geothermal ,297,697,"1,628","3,019","6,347","9,127"
36,Hydrogen ,0,0,0,0,0,0
37,RES share Other Sectors ,35%,39%,46%,56%,75%,91%
38,Total RES ,"61,910","81,333","103,976","133,785","196,390","239,934"
39,RES share ,19%,23%,29%,39%,62%,83%
40,non energy use ,"33,791","36,430","36,769","37,066","36,128","34,623"
41,oil ,"24,430","24,948","23,344","22,006","18,455","15,131"
42,Gas ,"7,735","8,271","8,533","8,699","8,569","8,233"
43,coal ,"1,625","3,211","4,891","6,362","9,105","11,259"
0,Table 13.1.13: Global: CO2 emissions Mill t/a,2012,2020,2025,2030,2040,2050
1,Condensation power plants,"9,522","10,105","8,630","6,714","3,604",887
2,Hard coal (& non-renewable waste),"5,063","5,849","5,256","4,192","2,035",391
3,lignite,"1,902","1,483",874,360,106,0
4,Gas,"1,760","2,178","2,099","1,977","1,425",484
5,oil,621,465,322,132,25,7
6,Diesel,175,130,80,54,14,5
7,Combined heat and power plants,"2,717","2,820","2,594","2,268","1,473",808
8,Hard coal (& non-renewable waste),"1,579","1,724","1,522","1,214",487,110
9,lignite,251,203,108,30,0,0
10,Gas,807,847,945,"1,019",983,697
11,oil,79,47,19,5,2,1
12,CO2 emissions power and CHP plants,"12,238","12,925","11,224","8,982","5,077","1,695"
13,Hard coal (& non-renewable waste),"6,643","7,572","6,778","5,406","2,522",501
14,lignite,"2,154","1,685",982,389,106,0
15,Gas,"2,567","3,025","3,044","2,996","2,408","1,182"
16,oil & diesel,875,642,421,191,41,13
17,CO2 intensity (g/kWh),,,,,,
18,without credit for CHP heat,,,,,,
19,co2 intensity fossil electr. generation,794,763,713,660,577,489
20,co2 intensity total electr. generation,541,474,374,267,119,34
21,CO2 emissions by sector,"30,469","30,758","26,923","22,110","12,014","4,358"
22,"% of 1990 emissions (20,938 Mill t)",146%,147%,129%,106%,57%,21%
23,industry1,"6,167","6,689","6,073","5,154","2,881","1,131"
24,other sectors1,"3,224","3,116","2,612","2,095","1,062",379
25,Transport,"6,165","6,474","6,096","5,334","3,055","1,391"
26,Power generation2,"10,765","11,210","9,562","7,471","4,052","1,111"
27,other conversion3,"4,148","3,270","2,580","2,055",964,347
28,Population (Mill.),"7,080","7,717","8,083","8,425","9,039","9,551"
29,CO2 emissions per capita (t/capita),4.3,4.04,3.3,2.6,1.3,0.5
0,Table 13.1.14: Global: Primary energy demand PJ/a,2012,2020,2025,2030,2040,2050
1,Total,"534,873","571,876","556,465","532,061","484,670","433,275"
2,fossil,"434,330","449,305","407,400","349,012","214,819","101,890"
3,Hard coal (& non-renewable waste),"132,625","144,445","129,574","103,954","49,446","17,680"
4,lignite,"21,617","16,902","9,841","3,974",992,0
5,natural gas,"118,747","129,643","128,942","125,232","97,858","50,419"
6,crude oil,"161,342","158,314","139,042","115,852","66,523","33,791"
7,nuclear,"26,884","20,433","14,679","6,102","1,983",0
8,Renewables,"73,659","102,138","134,386","176,947","267,868","331,385"
9,Hydro,"13,222","15,660","16,248","16,607","17,184","17,774"
10,Wind,"1,874","6,956","13,855","22,605","40,654","53,786"
11,solar,"1,223","6,416","16,164","32,589","68,542","96,369"
12,biomass (& renewable waste),"54,893","66,305","73,285","77,426","79,597","76,320"
13,Geothermal,"2,445","6,692","14,473","26,816","58,900","81,802"
14,ocean energy,2,111,362,904,"2,992","5,335"
15,Of which non-energy use,"33,791","36,430","36,769","37,066","36,128","34,623"
16,RES share,14%,18%,24%,33%,55%,76%
0,Table 13.1.15 Global: Electricity generation TWh/a,2012,2020,2025,2030,2040,2050
1,Power plants,"19,125","23,540","26,677","31,733","46,121","61,524"
2,Hard coal (& non-renewable waste),"5,477","6,182","5,445","4,016",992,0
3,lignite,"1,718","1,419",842,338,99,0
4,Gas,"3,876","4,872","4,920","4,719","3,185","1,358"
5,of which from H2,0,0,21,53,381,"1,358"
6,oil,889,585,401,153,29,0
7,Diesel,147,111,76,54,16,0
8,nuclear,"2,450","1,872","1,345",559,182,0
9,biomass (& renewable waste),205,552,630,658,683,701
